system_id,name_en,name_ar,vendor,owner_department,criticality,hosting_en,holds_personal_data,purpose_en,purpose_ar
ISY-01,Policy Administration System,نظام إدارة الوثائق,Sapiens,underwriting,critical,On-premise · Jeddah data centre,yes,"Quotes, policies, endorsements and renewals across all lines.",عروض الأسعار والوثائق والملاحق والتجديدات لجميع الفروع.
ISY-02,Claims Management System,نظام إدارة المطالبات,Guidewire ClaimCenter,claims,critical,On-premise · Jeddah data centre,yes,"Every motor, medical and property claim, its stage, its assessor and its settlement.",كل مطالبة مركبات أو طبية أو ممتلكات، ومرحلتها ومقدّرها وتسويتها.
ISY-03,Motor Pricing Engine,محرك تسعير المركبات,In-house,actuarial,high,Private cloud · in-Kingdom region,yes,Prices every motor quote from the approved rating factors.,يسعّر كل عرض مركبات وفق عوامل التسعير المعتمدة.
ISY-04,Najm and Elm integrations,التكامل مع نجم وعلم,Najm / Elm,claims,high,National service · in-Kingdom,yes,Accident reports and vehicle and identity verification for motor claims.,تقارير الحوادث والتحقق من المركبة والهوية لمطالبات المركبات.
ISY-05,Policyholder Complaints System,نظام شكاوى حملة الوثائق,In-house,care,high,Private cloud · in-Kingdom region,yes,Logs complaints and the referrals that arrive from the Insurance Authority.,يسجل الشكاوى والإحالات الواردة من هيئة التأمين.
ISY-06,Notification Gateway,بوابة الإشعارات,Unifonic,it,high,Vendor cloud · in-Kingdom region,yes,Every text message and email a policyholder receives.,كل رسالة نصية أو بريد يستلمه حامل الوثيقة.
ISY-07,Reinsurance Register,سجل إعادة التأمين,In-house,risk,medium,On-premise · Jeddah data centre,no,"Treaty and facultative cover, cessions and reinsurer ratings.",الاتفاقيات والاختياري والإسنادات وتصنيفات معيدي التأمين.
ISY-08,Regulatory Returns Pack,حزمة الإفصاحات الرقابية,In-house,finance,medium,On-premise · Jeddah data centre,no,Builds the quarterly and annual returns for the Insurance Authority.,يبني الإفصاحات الربع سنوية والسنوية لهيئة التأمين.
ISY-09,Identity and Access Management,إدارة الهوية والصلاحيات,Microsoft Entra ID,infosec,critical,Vendor cloud · in-Kingdom tenant,yes,"Staff sign-in, privileged access and access reviews.",دخول الموظفين والصلاحيات المميزة ومراجعات الوصول.
ISY-10,Human Resources System,نظام الموارد البشرية,Oracle Fusion HCM,hr,medium,Vendor cloud · in-Kingdom region,yes,Staff records and training completion.,سجلات الموظفين وإتمام التدريب.
