system_id,name_en,name_ar,vendor,owner_department,criticality,hosting_en,holds_personal_data,purpose_en,purpose_ar
SYS-01,Core Banking Platform,منصة البنك الأساسية,Temenos T24 R24,it,critical,On-premise · Riyadh primary data centre,yes,"Accounts, ledgers, transactions and customer master records.",الحسابات والقيود والعمليات وسجل العملاء الرئيسي.
SYS-02,Complaints Management System (Sanad),نظام إدارة الشكاوى (سند),In-house,care,high,Private cloud · in-Kingdom region,yes,"Logs every customer complaint, its status, owner and closure reason.",يسجل كل شكوى عميل وحالتها ومالكها وسبب إغلاقها.
SYS-03,Customer Onboarding & KYC,فتح الحسابات واعرف عميلك,Fenergo,operations,critical,On-premise · Riyadh primary data centre,yes,"Identity verification, due diligence and periodic customer data refresh.",التحقق من الهوية والعناية الواجبة وتحديث بيانات العميل دورياً.
SYS-04,AML Transaction Monitoring,مراقبة العمليات لمكافحة غسل الأموال,Oracle FCCM,aml,critical,On-premise · Riyadh primary data centre,yes,"Scenario-based monitoring, alert triage and suspicious transaction reporting.",المراقبة بالسيناريوهات وفرز التنبيهات والإبلاغ عن العمليات المشبوهة.
SYS-05,Notification Gateway (SMS & email),بوابة الإشعارات (رسائل نصية وبريد),Unifonic,it,high,Vendor cloud · in-Kingdom region,yes,Sends every customer-facing message: templates live here.,ترسل كل رسالة تصل للعميل، وقوالب الرسائل مخزّنة فيها.
SYS-06,Mobile Banking App,تطبيق البنك للجوال,In-house,retail,critical,Private cloud · in-Kingdom region,yes,The main customer channel: 1.1m monthly active users.,القناة الرئيسية للعميل: 1.1 مليون مستخدم نشط شهرياً.
SYS-07,Internet Banking Portal,بوابة الخدمات المصرفية عبر الإنترنت,In-house,retail,high,Private cloud · in-Kingdom region,yes,Web channel for individuals and small businesses.,القناة الإلكترونية للأفراد والمنشآت الصغيرة.
SYS-08,Document Management,إدارة الوثائق,OpenText,operations,medium,On-premise · Riyadh primary data centre,yes,"Policies, contracts, signed forms and retention schedules.",السياسات والعقود والنماذج الموقعة وجداول الحفظ.
SYS-09,GRC Platform (Ithbat),منصة الحوكمة والمخاطر والالتزام (إثبات),In-house,compliance,high,Private cloud · in-Kingdom region,no,"Control register, issue tracking and regulatory correspondence.",سجل الضوابط ومتابعة الملاحظات والمراسلات الرقابية.
SYS-10,Data Warehouse,مستودع البيانات,Snowflake,privacy,high,Vendor cloud · in-Kingdom region,yes,"Reporting, analytics and regulatory returns.",التقارير والتحليلات والإفصاحات الرقابية.
SYS-11,Identity & Access Management,إدارة الهوية والصلاحيات,Microsoft Entra ID,infosec,critical,Vendor cloud · in-Kingdom tenant,yes,"Staff sign-in, privileged access and access reviews.",دخول الموظفين والصلاحيات المميزة ومراجعات الوصول.
SYS-12,Card Management System,نظام إدارة البطاقات,Way4,retail,critical,On-premise · Riyadh primary data centre,yes,"Issuing, authorisation and dispute handling for cards.",إصدار البطاقات والتفويض ومعالجة الاعتراضات.
SYS-13,Contact Centre Platform,منصة مركز الاتصال,Genesys,care,high,Vendor cloud · in-Kingdom region,yes,"Calls, call scripts, recordings and service levels.",المكالمات ونصوص الحوار والتسجيلات ومستويات الخدمة.
SYS-14,Human Resources System,نظام الموارد البشرية,SAP SuccessFactors,hr,medium,Vendor cloud · in-Kingdom region,yes,"Staff records, training assignments and completion records.",سجلات الموظفين وتكليفات التدريب وسجلات الإتمام.
SYS-15,Vendor & Contract Register,سجل الموردين والعقود,In-house,procurement,medium,Private cloud · in-Kingdom region,no,"Outsourcing contracts, exit plans and vendor risk ratings.",عقود الإسناد وخطط الخروج وتصنيف مخاطر الموردين.
